Name,Business Value,Specialty Popularity,Attention Heat,Predicted Heat,Carrying Capacity,V Index,Weibo fans(w),Weibo hypertalk(w),Group friend,Classes,Genders
46,73.17 ,68.27 ,67.68 ,84.99 ,63.37 ,80.60 ,2227.80 ,10.60 ,238.00 ,1.00 ,0.00 
47,77.53 ,73.22 ,71.46 ,73.64 ,84.00 ,84.56 ,2732.30 ,39.60 ,5798.00 ,1.00 ,1.00 
48,77.42 ,63.71 ,71.08 ,86.49 ,78.30 ,84.57 ,1624.60 ,15.10 ,148.00 ,1.00 ,0.00 
49,71.32 ,58.88 ,69.87 ,61.49 ,72.60 ,83.74 ,2452.40 ,15.50 ,4887.00 ,1.00 ,0.00 
50,77.36 ,82.84 ,71.76 ,77.74 ,71.14 ,82.22 ,6069.50 ,23.80 ,132.00 ,1.00 ,1.00 
51,77.46 ,53.29 ,77.37 ,64.82 ,81.98 ,93.04 ,2634.20 ,1130.00 ,25000.00 ,1.00 ,0.00 
52,75.84 ,75.61 ,80.96 ,20.38 ,86.94 ,95.29 ,3823.70 ,2828.00 ,105000.00 ,2.00 ,1.00 
53,75.38 ,57.53 ,72.69 ,70.78 ,78.52 ,84.71 ,560.80 ,26.80 ,1200.00 ,1.00 ,1.00 
54,68.17 ,79.62 ,68.49 ,28.08 ,77.72 ,57.62 ,1542.70 ,23.60 ,181.00 ,1.00 ,0.00 
55,78.10 ,71.18 ,75.43 ,69.52 ,77.16 ,86.76 ,2669.00 ,56.00 ,3752.00 ,1.00 ,0.00 
56,75.22 ,66.09 ,69.63 ,81.57 ,73.47 ,83.76 ,1318.90 ,2.60 ,1472.00 ,1.00 ,0.00 
57,76.20 ,70.74 ,76.06 ,70.04 ,62.38 ,87.29 ,2408.70 ,23.80 ,4076.00 ,1.00 ,1.00 
58,72.20 ,80.68 ,69.27 ,66.96 ,60.57 ,74.16 ,4391.80 ,122.00 ,18000.00 ,1.00 ,0.00 
59,74.84 ,65.98 ,72.08 ,60.70 ,82.17 ,88.23 ,4905.80 ,175.00 ,5906.00 ,2.00 ,0.00 
60,74.57 ,72.55 ,77.85 ,29.05 ,84.64 ,89.90 ,5690.80 ,724.00 ,20000.00 ,1.00 ,1.00 
61,69.68 ,63.97 ,75.62 ,15.22 ,82.05 ,73.14 ,6297.50 ,1248.00 ,4311.00 ,2.00 ,1.00 
62,71.24 ,58.59 ,71.71 ,56.03 ,70.41 ,85.46 ,562.50 ,27.60 ,695.00 ,1.00 ,0.00 
63,68.97 ,61.06 ,65.98 ,71.47 ,61.81 ,75.74 ,871.10 ,47.20 ,2645.00 ,1.00 ,1.00 
64,62.45 ,19.32 ,76.66 ,4.86 ,72.16 ,78.87 ,185.30 ,45.40 ,43.00 ,3.00 ,0.00 
65,46.99 ,16.40 ,59.10 ,3.34 ,47.68 ,,103.60 ,,,3.00 ,1.00 
66,62.08 ,20.28 ,73.11 ,23.65 ,64.54 ,,,,,3.00 ,1.00 
67,60.90 ,55.76 ,68.57 ,24.86 ,50.38 ,75.85 ,231.20 ,5.80 ,3269.00 ,3.00 ,0.00 
68,58.83 ,47.94 ,67.91 ,3.27 ,66.68 ,72.59 ,1036.90 ,4.10 ,9006.00 ,3.00 ,1.00 
69,58.74 ,56.03 ,65.01 ,5.36 ,70.22 ,,525.80 ,9.20 ,6357.00 ,3.00 ,1.00 
70,58.31 ,56.77 ,70.87 ,11.27 ,37.64 ,,164.40 ,,68.00 ,3.00 ,1.00 
71,58.05 ,12.77 ,70.96 ,5.85 ,70.37 ,64.38 ,77.70 ,3.30 ,445.00 ,3.00 ,1.00 
72,57.69 ,30.68 ,63.07 ,29.57 ,64.00 ,62.48 ,334.20 ,6.40 ,2510.00 ,3.00 ,1.00 
73,57.30 ,32.34 ,68.22 ,3.28 ,66.06 ,,1566.30 ,5.70 ,1072.00 ,3.00 ,1.00 
74,56.97 ,21.68 ,70.13 ,1.82 ,64.92 ,52.20 ,180.20 ,10.00 ,441.00 ,3.00 ,0.00 
75,56.17 ,32.04 ,71.32 ,6.55 ,43.48 ,60.87 ,653.80 ,8.30 ,515.00 ,3.00 ,0.00 
76,56.04 ,18.02 ,71.97 ,5.14 ,50.82 ,58.52 ,93.40 ,16.40 ,345.00 ,3.00 ,1.00 
77,55.37 ,21.35 ,66.95 ,3.05 ,66.48 ,74.27 ,175.70 ,3.70 ,146.00 ,3.00 ,1.00 
78,55.15 ,33.12 ,64.71 ,7.19 ,62.05 ,,990.40 ,0.59 ,3015.00 ,3.00 ,0.00 
79,54.31 ,43.63 ,63.59 ,23.20 ,38.19 ,70.49 ,350.50 ,0.54 ,573.00 ,3.00 ,0.00 
80,54.19 ,57.36 ,58.48 ,3.09 ,68.80 ,74.39 ,493.10 ,1.00 ,468.00 ,3.00 ,1.00 
81,53.92 ,48.87 ,57.16 ,19.97 ,61.17 ,59.35 ,635.40 ,17.60 ,810.00 ,3.00 ,1.00 
82,53.79 ,15.62 ,65.25 ,5.05 ,65.06 ,59.27 ,125.90 ,20.20 ,106.00 ,3.00 ,1.00 
83,53.78 ,53.94 ,63.04 ,3.34 ,49.96 ,67.40 ,521.80 ,0.61 ,95.00 ,3.00 ,1.00 
84,53.53 ,26.24 ,63.83 ,23.07 ,43.95 ,,320.70 ,1.20 ,773.00 ,3.00 ,1.00 
85,53.21 ,20.00 ,70.70 ,3.25 ,38.45 ,52.97 ,39.50 ,18.70 ,57.00 ,3.00 ,0.00 
86,53.05 ,18.82 ,63.04 ,4.30 ,67.84 ,70.28 ,552.20 ,0.60 ,868.00 ,3.00 ,1.00 
87,53.03 ,19.24 ,71.35 ,3.21 ,35.25 ,,101.50 ,0.00 ,,3.00 ,1.00 
88,53.01 ,17.06 ,65.06 ,6.58 ,58.38 ,75.87 ,536.70 ,4.40 ,979.00 ,3.00 ,1.00 
89,52.78 ,23.89 ,66.23 ,3.09 ,51.14 ,,,,,3.00 ,1.00 
90,52.45 ,25.47 ,61.39 ,3.15 ,67.31 ,77.21 ,747.90 ,6.80 ,6930.00 ,3.00 ,1.00 
91,52.29 ,58.71 ,56.01 ,7.29 ,61.25 ,75.39 ,2090.90 ,0.62 ,1285.00 ,3.00 ,1.00 
92,52.26 ,24.05 ,62.99 ,6.09 ,57.74 ,,49.90 ,0.13 ,,3.00 ,0.00 
93,52.15 ,16.90 ,64.58 ,2.61 ,57.84 ,,64.90 ,0.34 ,390.00 ,3.00 ,0.00 
94,51.54 ,9.54 ,68.22 ,1.82 ,46.19 ,,,,272.00 ,3.00 ,0.00 
95,51.24 ,26.89 ,62.19 ,9.39 ,49.26 ,,2140.30 ,,272.00 ,3.00 ,0.00 
96,50.90 ,15.43 ,63.67 ,6.32 ,51.86 ,80.77 ,342.30 ,0.43 ,1281.00 ,3.00 ,1.00 
97,50.87 ,34.88 ,56.43 ,15.75 ,58.26 ,,397.90 ,0.01 ,,3.00 ,0.00 
98,50.85 ,35.79 ,63.23 ,2.55 ,43.52 ,,437.30 ,27.30 ,,3.00 ,0.00 
99,50.71 ,22.44 ,59.39 ,1.82 ,67.65 ,53.14 ,547.60 ,10.80 ,488.00 ,3.00 ,1.00 
100,50.47 ,17.17 ,60.70 ,2.61 ,63.62 ,,141.30 ,,,3.00 ,0.00 
101,50.34 ,20.47 ,60.30 ,7.15 ,57.61 ,50.37 ,199.70 ,2.00 ,133.00 ,3.00 ,1.00 
102,50.33 ,14.01 ,63.66 ,2.26 ,53.34 ,56.54 ,631.60 ,0.01 ,656.00 ,3.00 ,1.00 
103,49.96 ,11.66 ,62.53 ,10.07 ,49.26 ,,,,,3.00 ,1.00 
104,49.81 ,12.60 ,64.33 ,4.60 ,45.94 ,,58.60 ,0.00 ,,3.00 ,1.00 
105,49.74 ,14.29 ,63.24 ,4.85 ,48.46 ,75.77 ,87.70 ,0.37 ,321.00 ,3.00 ,1.00 
106,49.65 ,20.94 ,58.81 ,4.70 ,61.34 ,76.79 ,248.60 ,18.70 ,644.00 ,3.00 ,0.00 
107,49.36 ,20.23 ,57.40 ,6.22 ,65.83 ,70.20 ,455.60 ,2.70 ,276.00 ,3.00 ,1.00 
108,49.59 ,11.86 ,63.26 ,2.08 ,51.81 ,,,,,3.00 ,1.00 
109,49.58 ,19.25 ,61.45 ,3.21 ,52.93 ,74.48 ,101.40 ,1.30 ,2731.00 ,3.00 ,0.00 
110,49.35 ,24.65 ,62.37 ,4.34 ,43.14 ,,111.90 ,0.56 ,3008.00 ,3.00 ,1.00 
111,49.26 ,39.02 ,52.60 ,13.87 ,62.47 ,66.19 ,1323.60 ,0.04 ,432.00 ,3.00 ,1.00 
112,49.09 ,19.70 ,61.02 ,2.84 ,51.63 ,,270.90 ,0.10 ,535.00 ,3.00 ,1.00 
113,49.05 ,16.04 ,60.86 ,1.82 ,55.47 ,65.71 ,785.00 ,0.04 ,878.00 ,3.00 ,1.00 
114,49.04 ,16.99 ,57.34 ,4.55 ,66.16 ,,237.30 ,,,3.00 ,1.00 
115,48.90 ,17.54 ,66.06 ,4.92 ,29.60 ,70.92 ,106.70 ,7.10 ,790.00 ,3.00 ,0.00 
116,48.86 ,13.15 ,64.18 ,1.82 ,42.93 ,,147.80 ,1.70 ,,3.00 ,1.00 
117,48.71 ,13.96 ,58.86 ,4.66 ,59.88 ,69.66 ,47.70 ,0.56 ,98.00 ,3.00 ,1.00 
118,48.71 ,12.16 ,64.22 ,2.08 ,42.22 ,,,,,3.00 ,1.00 
119,48.57 ,22.98 ,60.21 ,1.82 ,50.42 ,,303.50 ,15.40 ,,3.00 ,0.00 
120,48.55 ,14.58 ,61.59 ,4.69 ,47.51 ,,135.10 ,0.68 ,1174.00 ,3.00 ,1.00 
121,48.31 ,31.54 ,54.92 ,4.30 ,61.69 ,,469.20 ,0.86 ,1382.00 ,3.00 ,1.00 
122,48.23 ,13.41 ,58.59 ,5.23 ,57.68 ,,227.80 ,0.16 ,,3.00 ,1.00 
123,48.19 ,28.93 ,56.90 ,3.14 ,55.96 ,64.70 ,555.90 ,0.00 ,422.00 ,3.00 ,0.00 
124,48.09 ,12.73 ,66.49 ,1.82 ,29.07 ,,,,,3.00 ,1.00 
125,48.07 ,17.38 ,60.32 ,3.25 ,49.06 ,59.18 ,45.90 ,0.15 ,212.00 ,3.00 ,0.00 
126,48.04 ,20.61 ,56.84 ,1.82 ,62.13 ,,273.30 ,3.20 ,,3.00 ,0.00 
127,47.89 ,14.91 ,58.70 ,1.82 ,57.51 ,51.13 ,48.10 ,0.17 ,56.00 ,3.00 ,0.00 
128,47.86 ,19.05 ,60.70 ,2.96 ,45.44 ,,528.70 ,1.80 ,,3.00 ,1.00 
129,47.85 ,11.80 ,67.21 ,3.60 ,23.49 ,51.19 ,137.10 ,0.01 ,22.00 ,3.00 ,0.00 
130,47.73 ,12.75 ,57.24 ,3.69 ,61.88 ,,75.40 ,0.39 ,,3.00 ,1.00 
131,47.70 ,19.02 ,60.70 ,3.81 ,43.57 ,53.19 ,78.80 ,9.10 ,381.00 ,3.00 ,1.00 
132,47.62 ,17.29 ,56.55 ,5.40 ,59.22 ,76.85 ,83.50 ,1.90 ,401.00 ,3.00 ,0.00 
